INFO | 2021-08-05 20:25:16 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:27:22 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:29:19 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:30:19 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:31:18 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:31:51 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:31:55 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:33:24 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:33:48 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:34:23 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:34:26 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:34:43 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:35:13 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:35:20 | CONNECTING TO MONGO...
INFO | 2021-08-05 20:35:20 | CONNECTED TO MONGO!

